trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.005, 'e': 0.5827482523739896}",30,6,-109.30580696886202,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 2}",1
110,False,"{'a': 0.005, 'e': 0.5798417833398464}",25,0,5.3006938917900674,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
111,False,"{'a': 0.005, 'e': 0.5769498103804866}",30,2,-139.9149315242624,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 3}",1
112,False,"{'a': 0.005, 'e': 0.574072261196436}",20,0,-87.17620890217373,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
113,False,"{'a': 0.005, 'e': 0.5712090638488149}",20,6,-96.80695920045599,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 2}",1
114,False,"{'a': 0.005, 'e': 0.5683601467575404}",20,8,-43.3353109563077,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.005, 'e': 0.5655254386995371}",20,5,-39.68179896001456,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.005, 'e': 0.5627048688069557}",20,2,-13.61496732622227,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.005, 'e': 0.559898366565402}",25,0,-136.50363869277888,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
118,False,"{'a': 0.005, 'e': 0.5571058618121739}",25,0,-95.37429971892848,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
119,False,"{'a': 0.005, 'e': 0.5543272847345071}",20,14,11.505947053523059,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.005, 'e': 0.5515625658678298}",25,8,-34.404295584847205,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
121,False,"{'a': 0.005, 'e': 0.5488116360940265}",30,8,-5.804802963074329,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
122,False,"{'a': 0.005, 'e': 0.5460744266397094}",20,6,1.3097022686310837,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.005, 'e': 0.5433508690744998}",25,15,0.2567372862690891,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.005, 'e': 0.5406408953093166}",20,0,-99.67319748430482,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
125,False,"{'a': 0.005, 'e': 0.5379444375946745}",20,2,-72.90924954915008,"{0: 12, 1: 0, 2: 3, 3: 3, 4: 0}",1
126,False,"{'a': 0.005, 'e': 0.5352614285189903}",25,0,-24.15384710539422,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
127,False,"{'a': 0.005, 'e': 0.5325918010068972}",30,23,2.0908915144498614,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.005, 'e': 0.5299354883175685}",20,9,-119.65960213799143,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 3}",1
129,False,"{'a': 0.005, 'e': 0.5272924240430485}",25,17,-25.944559650123793,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.005, 'e': 0.5246625421065929}",25,0,15.411216053414506,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
131,False,"{'a': 0.005, 'e': 0.522045776761016}",20,13,6.271675164872779,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.005, 'e': 0.5194420625870482}",25,0,-70.33172897690024,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
133,False,"{'a': 0.005, 'e': 0.5168513344916992}",20,7,-15.076142414052665,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
134,False,"{'a': 0.005, 'e': 0.5142735277066319}",35,10,-38.68423188305222,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",1
135,False,"{'a': 0.005, 'e': 0.5117085777865424}",25,9,-19.30267089872153,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
136,False,"{'a': 0.005, 'e': 0.5091564206075492}",20,0,-54.826075868486186,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
137,False,"{'a': 0.005, 'e': 0.5066169923655895}",30,22,12.323125305562158,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.005, 'e': 0.5040902295748255}",20,10,-24.633250937383778,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.005, 'e': 0.5015760690660555}",20,9,-38.19948479654397,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
140,False,"{'a': 0.005, 'e': 0.49907444798513595}",25,17,6.119671320406142,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.005, 'e': 0.49658530379140947}",20,16,7.791239744389883,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.005, 'e': 0.4941085742561417}",20,0,-6.631581993728034,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
143,False,"{'a': 0.005, 'e': 0.4916441974609651}",20,2,-30.361534396694214,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
144,False,"{'a': 0.005, 'e': 0.48919211179633154}",30,4,-78.86987522660253,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 2}",1
145,False,"{'a': 0.005, 'e': 0.4867522559599717}",30,14,-68.27237234552042,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 2}",1
146,False,"{'a': 0.005, 'e': 0.48432456895536247}",25,9,11.333753859047283,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.005, 'e': 0.48190899009020244}",25,13,9.531691246168542,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.005, 'e': 0.4795054589748941}",20,1,-34.76780254685644,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
149,False,"{'a': 0.005, 'e': 0.4771139155210344}",20,8,-24.992556411384683,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.005, 'e': 0.4747342999399124}",25,0,-68.83459198732665,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
